height,a,b,c,mass_hex
1,3,5,0,0x0p+0
1,4,0,0,0x0p+0
1,4,0,1,0x0p+0
1,4,0,2,0x0p+0
1,4,0,3,0x0p+0
1,4,0,4,0x0p+0
1,4,1,0,0x0p+0
1,4,1,1,0x0p+0
1,4,1,2,0x0p+0
1,4,1,3,0x0p+0
1,4,2,0,0x0p+0
1,4,2,1,0x0p+0
1,4,2,2,0x0p+0
1,4,3,0,0x0p+0
1,4,3,1,0x0p+0
1,4,4,0,0x0p+0
1,5,0,0,0x0p+0
1,5,0,1,0x0p+0
1,5,0,2,0x0p+0
1,5,0,3,0x0p+0
1,5,1,0,0x0p+0
1,5,1,1,0x0p+0
1,5,1,2,0x0p+0
1,5,2,0,0x0p+0
1,5,2,1,0x0p+0
1,5,3,0,0x0p+0
1,6,0,0,0x0p+0
1,6,0,1,0x0p+0
1,6,0,2,0x0p+0
1,6,1,0,0x0p+0
1,6,1,1,0x0p+0
1,6,2,0,0x0p+0
1,7,0,0,0x0p+0
1,7,0,1,0x0p+0
1,7,1,0,0x0p+0
1,8,0,0,0x0p+0
2,0,0,0,0x1.6be2d2a2781d6p-7
2,0,0,1,0x0p+0
2,0,0,2,0x0p+0
2,0,0,3,0x0p+0
2,0,0,4,0x0p+0
2,0,0,5,0x0p+0
2,0,0,6,0x0p+0
2,0,0,7,0x0p+0
2,0,0,8,0x0p+0
2,0,1,0,0x1.a6dc352187574p-20
2,0,1,1,0x0p+0
2,0,1,2,0x0p+0
2,0,1,3,0x0p+0
2,0,1,4,0x0p+0
2,0,1,5,0x0p+0
2,0,1,6,0x0p+0
2,0,1,7,0x0p+0
2,0,2,0,0x0p+0
2,0,2,1,0x0p+0
2,0,2,2,0x0p+0
2,0,2,3,0x0p+0
2,0,2,4,0x0p+0
2,0,2,5,0x0p+0
2,0,2,6,0x0p+0
2,0,3,0,0x0p+0
2,0,3,1,0x0p+0
2,0,3,2,0x0p+0
2,0,3,3,0x0p+0
2,0,3,4,0x0p+0
2,0,3,5,0x0p+0
2,0,4,0,0x0p+0
2,0,4,1,0x0p+0
2,0,4,2,0x0p+0
2,0,4,3,0x0p+0
2,0,4,4,0x0p+0
2,0,5,0,0x0p+0
2,0,5,1,0x0p+0
2,0,5,2,0x0p+0
2,0,5,3,0x0p+0
2,0,6,0,0x0p+0
2,0,6,1,0x0p+0
2,0,6,2,0x0p+0
2,0,7,0,0x0p+0
2,0,7,1,0x0p+0
2,0,8,0,0x0p+0
2,1,0,0,0x1.a71ec09e42ed4p-20
2,1,0,1,0x0p+0
2,1,0,2,0x0p+0
2,1,0,3,0x0p+0
2,1,0,4,0x0p+0
2,1,0,5,0x0p+0
2,1,0,6,0x0p+0
2,1,0,7,0x0p+0
2,1,1,0,0x1.ebb1b84868cd9p-33
2,1,1,1,0x0p+0
2,1,1,2,0x0p+0
2,1,1,3,0x0p+0
2,1,1,4,0x0p+0
2,1,1,5,0x0p+0
2,1,1,6,0x0p+0
2,1,2,0,0x0p+0
2,1,2,1,0x0p+0
2,1,2,2,0x0p+0
2,1,2,3,0x0p+0
2,1,2,4,0x0p+0
2,1,2,5,0x0p+0
2,1,3,0,0x0p+0
2,1,3,1,0x0p+0
2,1,3,2,0x0p+0
2,1,3,3,0x0p+0
2,1,3,4,0x0p+0
2,1,4,0,0x0p+0
2,1,4,1,0x0p+0
2,1,4,2,0x0p+0
2,1,4,3,0x0p+0
2,1,5,0,0x0p+0
2,1,5,1,0x0p+0
2,1,5,2,0x0p+0
2,1,6,0,0x0p+0
2,1,6,1,0x0p+0
2,1,7,0,0x0p+0
2,2,0,0,0x1.eb528fbfe5f01p-33
2,2,0,1,0x0p+0
2,2,0,2,0x0p+0
2,2,0,3,0x0p+0
2,2,0,4,0x0p+0
2,2,0,5,0x0p+0
2,2,0,6,0x0p+0
2,2,1,0,0x1.1d799988986b1p-45
2,2,1,1,0x0p+0
2,2,1,2,0x0p+0
2,2,1,3,0x0p+0
2,2,1,4,0x0p+0
2,2,1,5,0x0p+0
2,2,2,0,0x0p+0
2,2,2,1,0x0p+0
2,2,2,2,0x0p+0
2,2,2,3,0x0p+0
2,2,2,4,0x0p+0
2,2,3,0,0x0p+0
2,2,3,1,0x0p+0
2,2,3,2,0x0p+0
2,2,3,3,0x0p+0
2,2,4,0,0x0p+0
2,2,4,1,0x0p+0
2,2,4,2,0x0p+0
2,2,5,0,0x0p+0
2,2,5,1,0x0p+0
2,2,6,0,0x0p+0
2,3,0,0,0x0p+0
2,3,0,1,0x0p+0
2,3,0,2,0x0p+0
2,3,0,3,0x0p+0
2,3,0,4,0x0p+0
2,3,0,5,0x0p+0
2,3,1,0,0x0p+0
2,3,1,1,0x0p+0
2,3,1,2,0x0p+0
2,3,1,3,0x0p+0
2,3,1,4,0x0p+0
2,3,2,0,0x0p+0
2,3,2,1,0x0p+0
2,3,2,2,0x0p+0
2,3,2,3,0x0p+0
2,3,3,0,0x0p+0
2,3,3,1,0x0p+0
2,3,3,2,0x0p+0
2,3,4,0,0x0p+0
2,3,4,1,0x0p+0
2,3,5,0,0x0p+0
2,4,0,0,0x0p+0
2,4,0,1,0x0p+0
2,4,0,2,0x0p+0
2,4,0,3,0x0p+0
2,4,0,4,0x0p+0
2,4,1,0,0x0p+0
2,4,1,1,0x0p+0
2,4,1,2,0x0p+0
2,4,1,3,0x0p+0
2,4,2,0,0x0p+0
2,4,2,1,0x0p+0
2,4,2,2,0x0p+0
2,4,3,0,0x0p+0
2,4,3,1,0x0p+0
2,4,4,0,0x0p+0
2,5,0,0,0x0p+0
2,5,0,1,0x0p+0
2,5,0,2,0x0p+0
2,5,0,3,0x0p+0
2,5,1,0,0x0p+0
2,5,1,1,0x0p+0
2,5,1,2,0x0p+0
2,5,2,0,0x0p+0
2,5,2,1,0x0p+0
2,5,3,0,0x0p+0
2,6,0,0,0x0p+0
2,6,0,1,0x0p+0
2,6,0,2,0x0p+0
2,6,1,0,0x0p+0
2,6,1,1,0x0p+0
2,6,2,0,0x0p+0
2,7,0,0,0x0p+0
2,7,0,1,0x0p+0
2,7,1,0,0x0p+0
2,8,0,0,0x0p+0
3,0,0,0,0x1.cdb2d8534b10bp-16
3,0,0,1,0x1.0c433430f0fc5p-28
3,0,0,2,0x0p+0
3,0,0,3,0x0p+0
3,0,0,4,0x0p+0
3,0,0,5,0x0p+0
3,0,0,6,0x0p+0
3,0,0,7,0x0p+0
3,0,0,8,0x0p+0
3,0,1,0,0x1.0c6d6b813ba93p-28
3,0,1,1,0x1.37ee4ab5d57c9p-41
3,0,1,2,0x0p+0
3,0,1,3,0x0p+0
3,0,1,4,0x0p+0
3,0,1,5,0x0p+0
3,0,1,6,0x0p+0
3,0,1,7,0x0p+0
3,0,2,0,0x1.37b1ec632188p-41
3,0,2,1,0x1.6a35f037bb719p-54
3,0,2,2,0x0p+0
3,0,2,3,0x0p+0
3,0,2,4,0x0p+0
3,0,2,5,0x0p+0
3,0,2,6,0x0p+0
3,0,3,0,0x0p+0
3,0,3,1,0x0p+0
3,0,3,2,0x0p+0
3,0,3,3,0x0p+0
3,0,3,4,0x0p+0
3,0,3,5,0x0p+0
3,0,4,0,0x0p+0
3,0,4,1,0x0p+0
3,0,4,2,0x0p+0
3,0,4,3,0x0p+0
3,0,4,4,0x0p+0
3,0,5,0,0x0p+0
3,0,5,1,0x0p+0
3,0,5,2,0x0p+0
3,0,5,3,0x0p+0
3,0,6,0,0x0p+0
3,0,6,1,0x0p+0
3,0,6,2,0x0p+0
3,0,7,0,0x0p+0
3,0,7,1,0x0p+0
3,0,8,0,0x0p+0
3,1,0,0,0x1.0c97b74e0ea1dp-28
3,1,0,1,0x1.381f7158bfd8ap-41
3,1,0,2,0x0p+0
3,1,0,3,0x0p+0
3,1,0,4,0x0p+0
3,1,0,5,0x0p+0
3,1,0,6,0x0p+0
3,1,0,7,0x0p+0
3,1,1,0,0x1.38508fa1a3593p-41
3,1,1,1,0x1.6aee493b4025p-54
3,1,1,2,0x0p+0
3,1,1,3,0x0p+0
3,1,1,4,0x0p+0
3,1,1,5,0x0p+0
3,1,1,6,0x0p+0
3,1,2,0,0x1.6aa80c29716ddp-54
3,1,2,1,0x1.a56e6ad84af8p-67
3,1,2,2,0x0p+0
3,1,2,3,0x0p+0
3,1,2,4,0x0p+0
3,1,2,5,0x0p+0
3,1,3,0,0x0p+0
3,1,3,1,0x0p+0
3,1,3,2,0x0p+0
3,1,3,3,0x0p+0
3,1,3,4,0x0p+0
3,1,4,0,0x0p+0
3,1,4,1,0x0p+0
3,1,4,2,0x0p+0
3,1,4,3,0x0p+0
3,1,5,0,0x0p+0
3,1,5,1,0x0p+0
3,1,5,2,0x0p+0
3,1,6,0,0x0p+0
3,1,6,1,0x0p+0
3,1,7,0,0x0p+0
3,2,0,0,0x1.37fb85a68ed7dp-40
3,2,0,1,0x1.6a8b770a6a165p-53
3,2,0,2,0x0p+0
3,2,0,3,0x0p+0
3,2,0,4,0x0p+0
3,2,0,5,0x0p+0
3,2,0,6,0x0p+0
3,2,1,0,0x1.6ac484a4372c3p-53
3,2,1,1,0x1.a58f808d255e7p-66
3,2,1,2,0x0p+0
3,2,1,3,0x0p+0
3,2,1,4,0x0p+0
3,2,1,5,0x0p+0
3,2,2,0,0x1.a53deab9abc59p-66
3,2,2,1,0x1.e982f4d995295p-79
3,2,2,2,0x0p+0
3,2,2,3,0x0p+0
3,2,2,4,0x0p+0
3,2,3,0,0x0p+0
3,2,3,1,0x0p+0
3,2,3,2,0x0p+0
3,2,3,3,0x0p+0
3,2,4,0,0x0p+0
3,2,4,1,0x0p+0
3,2,4,2,0x0p+0
3,2,5,0,0x0p+0
3,2,5,1,0x0p+0
3,2,6,0,0x0p+0
3,3,0,0,0x1.6a61c7772828fp-53
3,3,0,1,0x1.a51cc2c32d4bap-66
3,3,0,2,0x0p+0
3,3,0,3,0x0p+0
3,3,0,4,0x0p+0
3,3,0,5,0x0p+0
3,3,1,0,0x1.a55f07d5eb77ap-66
3,3,1,1,0x1.e9a96fd365c4dp-79
3,3,1,2,0x0p+0
3,3,1,3,0x0p+0
3,3,1,4,0x0p+0
3,3,2,0,0x1.e94aabfbd3738p-79
3,3,2,1,0x1.1c4b86b6f3d36p-91
3,3,2,2,0x0p+0
3,3,2,3,0x0p+0
3,3,3,0,0x0p+0
3,3,3,1,0x0p+0
3,3,3,2,0x0p+0
3,3,4,0,0x0p+0
3,3,4,1,0x0p+0
3,3,5,0,0x0p+0
3,4,0,0,0x1.a4cb432474c86p-67
3,4,0,1,0x1.e8fdb85313a75p-80
3,4,0,2,0x0p+0
3,4,0,3,0x0p+0
3,4,0,4,0x0p+0
3,4,1,0,0x1.e94aabfbd3737p-80
3,4,1,1,0x1.1c4b86b6f3d36p-92
3,4,1,2,0x0p+0
3,4,1,3,0x0p+0
3,4,2,0,0x1.1c148194f05fp-92
3,4,2,1,0x1.4a1ecc14ba0a6p-105
3,4,2,2,0x0p+0
3,4,3,0,0x0p+0
3,4,3,1,0x0p+0
3,4,4,0,0x0p+0
3,5,0,0,0x0p+0
3,5,0,1,0x0p+0
3,5,0,2,0x0p+0
3,5,0,3,0x0p+0
3,5,1,0,0x0p+0
3,5,1,1,0x0p+0
3,5,1,2,0x0p+0
3,5,2,0,0x0p+0
3,5,2,1,0x0p+0
3,5,3,0,0x0p+0
3,6,0,0,0x0p+0
3,6,0,1,0x0p+0
3,6,0,2,0x0p+0
3,6,1,0,0x0p+0
3,6,1,1,0x0p+0
3,6,2,0,0x0p+0
3,7,0,0,0x0p+0
3,7,0,1,0x0p+0
3,7,1,0,0x0p+0
3,8,0,0,0x0p+0
4,0,0,0,0x1.73bd31135dd79p-33
4,0,0,1,0x1.b0405f8b9e9c3p-46
4,0,0,2,0x1.f5ecfb41e689fp-59
4,0,0,3,0x0p+0
4,0,0,4,0x0p+0
4,0,0,5,0x0p+0
4,0,0,6,0x0p+0
4,0,0,7,0x0p+0
4,0,0,8,0x0p+0
4,0,1,0,0x1.b0847ba9ff6b3p-46
4,0,1,1,0x1.f6ec6ff6f1f86p-59
4,0,1,2,0x1.23fea5288166ap-71
4,0,1,3,0x0p+0
4,0,1,4,0x0p+0
4,0,1,5,0x0p+0
4,0,1,6,0x0p+0
4,0,1,7,0x0p+0
4,0,2,0,0x1.f6637f89feea7p-58
4,0,2,1,0x1.24159183eb74dp-70
4,0,2,2,0x1.532a41e34611cp-83
4,0,2,3,0x0p+0
4,0,2,4,0x0p+0
4,0,2,5,0x0p+0
4,0,2,6,0x0p+0
4,0,3,0,0x1.23c611775347ap-70
4,0,3,1,0x1.5344eb46efa22p-83
4,0,3,2,0x1.89f4ab1e568dp-96
4,0,3,3,0x0p+0
4,0,3,4,0x0p+0
4,0,3,5,0x0p+0
4,0,4,0,0x1.52cdf14f0db1ap-84
4,0,4,1,0x1.89f4ab1e568cfp-97
4,0,4,2,0x1.c9750694a88fdp-110
4,0,4,3,0x0p+0
4,0,4,4,0x0p+0
4,0,5,0,0x0p+0
4,0,5,1,0x0p+0
4,0,5,2,0x0p+0
4,0,5,3,0x0p+0
4,0,6,0,0x0p+0
4,0,6,1,0x0p+0
4,0,6,2,0x0p+0
4,0,7,0,0x0p+0
4,0,7,1,0x0p+0
4,0,8,0,0x0p+0
4,1,0,0,0x1.b10cce10ded1cp-46
4,1,0,1,0x1.f78af332d744ep-59
4,1,0,2,0x1.245aad3dd9836p-71
4,1,0,3,0x0p+0
4,1,0,4,0x0p+0
4,1,0,5,0x0p+0
4,1,0,6,0x0p+0
4,1,0,7,0x0p+0
4,1,1,0,0x1.f7da4b0f44cb1p-59
4,1,1,1,0x1.24ef788a78f12p-71
4,1,1,2,0x1.542748885a1a3p-84
4,1,1,3,0x0p+0
4,1,1,4,0x0p+0
4,1,1,5,0x0p+0
4,1,1,6,0x0p+0
4,1,2,0,0x1.249fb56589b6p-70
4,1,2,1,0x1.5441fcc24baa3p-83
4,1,2,2,0x1.8b1a875169baep-96
4,1,2,3,0x0p+0
4,1,2,4,0x0p+0
4,1,2,5,0x0p+0
4,1,3,0,0x1.53e5600adb4eep-83
4,1,3,1,0x1.8b39966b8adadp-96
4,1,3,2,0x1.caee517bfcfebp-109
4,1,3,3,0x0p+0
4,1,3,4,0x0p+0
4,1,4,0,0x1.8aaefd0365937p-97
4,1,4,1,0x1.caee517bfcfeap-110
4,1,4,2,0x1.0a73eb7ab67f6p-122
4,1,4,3,0x0p+0
4,1,5,0,0x0p+0
4,1,5,1,0x0p+0
4,1,5,2,0x0p+0
4,1,6,0,0x0p+0
4,1,6,1,0x0p+0
4,1,7,0,0x0p+0
4,2,0,0,0x1.f6cc9cc76cd5ap-57
4,2,0,1,0x1.2452ae4e30258p-69
4,2,0,2,0x1.53713872d2f7fp-82
4,2,0,3,0x0p+0
4,2,0,4,0x0p+0
4,2,0,5,0x0p+0
4,2,0,6,0x0p+0
4,2,1,0,0x1.2480be00823eap-69
4,2,1,1,0x1.541dfaed53c64p-82
4,2,1,2,0x1.8af0b7abe7308p-95
4,2,1,3,0x0p+0
4,2,1,4,0x0p+0
4,2,1,5,0x0p+0
4,2,2,0,0x1.53c15ef89affdp-81
4,2,2,1,0x1.8b0fb8f9b1d52p-94
4,2,2,2,0x1.cabdb480efef4p-107
4,2,2,3,0x0p+0
4,2,2,4,0x0p+0
4,2,3,0,0x1.8aa4319ca0d24p-94
4,2,3,1,0x1.cae1c44036fap-107
4,2,3,2,0x1.0a6ca1e4b5615p-119
4,2,3,3,0x0p+0
4,2,4,0,0x1.ca40d807049efp-108
4,2,4,1,0x1.0a6ca1e4b5614p-120
4,2,4,2,0x1.355e7ae4658d1p-133
4,2,5,0,0x0p+0
4,2,5,1,0x0p+0
4,2,6,0,0x0p+0
4,3,0,0,0x1.489e4ff26561bp-68
4,3,0,1,0x1.7e1c9013802b4p-81
4,3,0,2,0x1.bbb42d70acd61p-94
4,3,0,3,0x0p+0
4,3,0,4,0x0p+0
4,3,0,5,0x0p+0
4,3,1,0,0x1.7e58c5a82a2e9p-81
4,3,1,1,0x1.bc960052dba71p-94
4,3,1,2,0x1.021fcadf399e8p-106
4,3,1,3,0x0p+0
4,3,1,4,0x0p+0
4,3,2,0,0x1.bc1cf256d9d73p-93
4,3,2,1,0x1.02340e845f41p-105
4,3,2,2,0x1.2bd2ab6888046p-118
4,3,2,3,0x0p+0
4,3,3,0,0x1.01edc73ebf0b7p-105
4,3,3,1,0x1.2bea3d12a0322p-118
4,3,3,2,0x1.5c420f0206c22p-131
4,3,4,0,0x1.2b811023657aep-119
4,3,4,1,0x1.5c420f0206c22p-132
4,3,5,0,0x0p+0
4,4,0,0,0x1.3e2991d3579c4p-80
4,4,0,1,0x1.71f4183623fc9p-93
4,4,0,2,0x1.ad96035c77406p-106
4,4,0,3,0x0p+0
4,4,0,4,0x0p+0
4,4,1,0,0x1.722e635c5aaf1p-93
4,4,1,1,0x1.ae70a6cf5d671p-106
4,4,1,2,0x1.f3d28350c66c5p-119
4,4,1,3,0x0p+0
4,4,2,0,0x1.adfb72de86208p-105
4,4,2,1,0x1.f3f9c07bbaac3p-118
4,4,2,2,0x1.22487a960eeb5p-130
4,4,3,0,0x1.f371aad6415b6p-118
4,4,3,1,0x1.225f4c4547b93p-130
4,4,4,0,0x1.21f97809952b3p-131
4,5,0,0,0x1.d42ce89740a2dp-93
4,5,0,1,0x1.103167362193fp-105
4,5,0,2,0x1.3c114a4ef1bf9p-118
4,5,0,3,0x0p+0
4,5,1,0,0x1.105c4ae805269p-105
4,5,1,1,0x1.3cb227418f9c4p-118
4,5,1,2,0x1.6fbe6da5f4bc5p-131
4,5,2,0,0x1.3c5bebe195b21p-117
4,5,2,1,0x1.6fdb4c5f4c275p-130
4,5,3,0,0x1.6f772c9a374cdp-130
4,6,0,0,0x1.0199d70e567d4p-105
4,6,0,1,0x1.2b88a2fe3384ep-118
4,6,0,2,0x1.5bd0b9715d4a2p-131
4,6,1,0,0x1.2bb7d58e838c7p-118
4,6,1,1,0x1.5c81bedc6ee75p-131
4,6,2,0,0x1.5c22da1923fe3p-130
4,7,0,0,0x1.8eeec9688b35dp-119
4,7,0,1,0x1.cfdf30d3e74f5p-132
4,7,1,0,0x1.d028487244ed5p-132
4,8,0,0,0x1.821bd87545674p-133
